Management occupations,600539.0
Business and financial operations occupations,346544.0
Computer and mathematical occupations,144152.0
Architecture and engineering occupations,56954.0
"Life, physical, and social science occupations",52597.0
Community and social service occupations,115555.0
Legal occupations,145743.0
"Education, training, and library occupations",407914.0
"Arts, design, entertainment, sports, and media occupations",321792.0
Health diagnosing and treating practitioners and other technical occupations,210654.0
Health technologists and technicians,68788.0
Healthcare support occupations,258318.0
"Fire fighting and prevention, and other protective service workers including supervisors",110810.0
Law enforcement workers including supervisors,60559.0
Food preparation and serving related occupations,365191.0
Building and grounds cleaning and maintenance occupations,286026.0
Personal care and service occupations,294057.0
Sales and related occupations,656505.0
Office and administrative support occupations,773268.0
"Farming, fishing, and forestry occupations",4050.0
Construction and extraction occupations,272891.0
"Installation, maintenance, and repair occupations",111275.0
Production occupations,186414.0
Transportation occupations,255455.0
Material moving occupations,95240.0
