"Occupations","2010","2015","2019"
"Management occupations",552620,709516,747359
"Business and financial operations occupations",340107,377498,436743
"Computer and mathematical occupations",129308,166344,212493
"Architecture and engineering occupations",53954,60958,75290
"Life, physical, and social science occupations",50490,61916,61862
"Community and social service occupations",121263,124836,132641
"Legal occupations",139172,149581,147126
"Education, training, and library occupations",395908,447813,458601
"Arts, design, entertainment, sports, and media occupations",296670,345721,348967
"Health diagnosing and treating practitioners and other technical occupations",197194,225416,240643
"Health technologists and technicians",65780,91317,87863
"Healthcare support occupations",250331,269607,368057
"Fire fighting and prevention, and other protective service workers including supervisors",103256,105670,119227
"Law enforcement workers including supervisors",56339,57791,60466
"Food preparation and serving related occupations",334520,412978,386234
"Building and grounds cleaning and maintenance occupations",297522,298084,279953
"Personal care and service occupations",271890,307430,252657
"Sales and related occupations",617483,637868,604196
"Office and administrative support occupations",774468,788184,632204
"Farming, fishing, and forestry occupations",3604,6223,5190
"Construction and extraction occupations",274780,293301,302902
"Installation, maintenance, and repair occupations",110658,123231,109984
"Production occupations",192094,170848,148952
"Transportation occupations",238416,287466,282241
"Material moving occupations",101287,83288,132244
