Occupations,NumEmps,Gender
Management occupations,2907328.0,Female
Business and financial operations occupations,1890713.0,Female
Computer and mathematical occupations,423310.0,Female
Architecture and engineering occupations,142962.0,Female
"Life, physical, and social science occupations",317339.0,Female
Community and social service occupations,832119.0,Female
Legal occupations,705565.0,Female
"Education, training, and library occupations",2315935.0,Female
"Arts, design, entertainment, sports, and media occupations",1631104.0,Female
Healthcare practitioners and technical occupations:,2095025.0,Female
"Fire fighting and prevention, and other protective service workers including supervisors",199635.0,Female
Law enforcement workers including supervisors,157879.0,Female
Food preparation and serving related occupations,1290381.0,Female
Sales and related occupations,3013427.0,Female
Office and administrative support occupations,5018032.0,Female
"Farming, fishing, and forestry occupations",13913.0,Female
Construction and extraction occupations,84242.0,Female
"Installation, maintenance, and repair occupations",50150.0,Female
Production occupations,597680.0,Female
Transportation occupations,267719.0,Female
Material moving occupations,200278.0,Female
Management occupations,3695589.0,Male
Business and financial operations occupations,1897891.0,Male
Computer and mathematical occupations,1248987.0,Male
Architecture and engineering occupations,485818.0,Male
"Life, physical, and social science occupations",248477.0,Male
Community and social service occupations,389168.0,Male
Legal occupations,727841.0,Male
"Education, training, and library occupations",1009176.0,Male
"Arts, design, entertainment, sports, and media occupations",1736767.0,Male
Healthcare practitioners and technical occupations:,899849.0,Male
"Fire fighting and prevention, and other protective service workers including supervisors",642498.0,Male
Law enforcement workers including supervisors,419888.0,Male
Food preparation and serving related occupations,2499218.0,Male
Sales and related occupations,3318480.0,Male
Office and administrative support occupations,2503588.0,Male
"Farming, fishing, and forestry occupations",34636.0,Male
Construction and extraction occupations,2808545.0,Male
"Installation, maintenance, and repair occupations",1088763.0,Male
Production occupations,1080787.0,Male
Transportation occupations,2447545.0,Male
Material moving occupations,797398.0,Male
